EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,CAPLAT,CAPLON,TRAPTYPE,ENTRTYPE,BAIT,OTHRTYPE,POSITIO1,SITE,CLASS,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
13244,60968,22323,ACN,29-Nov-16,,000792809,,3662,,OLD,1012,1271,66,+,,A,13,,,V,,,,,NWFN,,SKINNY; POSSIBLY DEHYDRATED; RIGHT EYE SUNKEN IN (K:\USGS PHOTOS\CP snake condition Photos\29 Nov 2016 PIT 000792809 AND \29 Nov 2016 PIT 000792809 (2),0.648385606,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13163,60032,22196,MCV,26-Oct-16,,000876772,,3837,,OLD,1178,1370,154,+,,I,5,,,V,,,,,NWFN,,HEMIPENES FLARED,0.891424004,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13187,60358,22241,CJR,02-Nov-16,,000876772,,3837,,OLD,1178,1370,148,+,,E,5,,,V,,,,,NWFN,,,0.856693198,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13155,59989,22188,FTE,03-Nov-16,,000876772,,3837,,OLD,1165,1361,152,+,,B,7,,,V,,,,,NWFN,,HEMIPENES FLARED,0.915947977,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13329,62030,22513,CJR,30-Dec-16,,000876772,,3837,,OLD,1168,1358,145,+,,D,5,,,V,,,,,NWFN,,"WONKY BLOODY EYE, HEAVY SCARRING ON TAIL",0.865680546,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13350,62277,22541,FTE,12-Jan-17,,000876772,,3837,,OLD,1179,1368,157,+,,H,6,,,V,,,,,NWFN,,DAMAGED TAIL AND DORSAL SIDE OF LOWER BODY,0.905989963,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13159,59998,22190,VRD,27-Oct-16,,028284638,,1639,,OLD,1017,1272,100,+,,U,9,,,V,,,,,NWFN,,,0.966372134,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13262,61213,22361,VRD,07-Dec-16,,028284638,,1639,,OLD,1014,1272,105,+,,X,3,,,V,,,,,NWFN,,,1.024752356,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13303,61708,22459,TJH,22-Dec-16,,028284638,,1639,,OLD,1026,1274,114,+,,Y,2,,,V,,,,,NWFN,,,1.069610397,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13354,62331,22555,MGN,04-Jan-17,,028284638,,1639,,OLD,1004,1252,113,+,,S,10,,,V,,,,,NWFN,,,1.139806392,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
